ego_vehicle,route_length,pedestrians,npc_vehicles,outside_route_lanes,carla_version,completion_score,simulation_time,driving_score,system_time,infraction,weather
vehicle.bmw.isetta,55.94493792555948,0,120,0,10,100.0,27.750000413507223,100.0,218.8272469043732,none,0
vehicle.bmw.isetta,61.09374739316211,0,120,0,10,100.0,25.600000381469727,100.0,211.4040870666504,none,0
vehicle.bmw.isetta,60.92802203945554,0,120,0,10,100.0,48.300000719726086,100.0,312.4144098758697,none,0
vehicle.bmw.isetta,60.41447692826555,0,120,0,10,100.0,25.850000385195017,100.0,256.81611680984497,none,0
vehicle.bmw.isetta,61.067938290835365,0,120,0,10,100.0,43.70000065118074,100.0,370.579687833786,none,0
vehicle.bmw.isetta,61.26539929186665,0,120,0,10,100.0,28.700000427663326,100.0,200.44035124778748,none,0
vehicle.bmw.isetta,54.91447760482357,0,120,0,10,100.0,38.05000056698918,100.0,294.81639885902405,none,0
vehicle.bmw.isetta,55.9272196240984,0,120,0,10,100.0,27.05000040307641,100.0,181.7520062923432,none,0
vehicle.bmw.isetta,55.25090884695793,0,120,0,10,100.0,54.65000081434846,100.0,595.2362515926361,none,0
vehicle.bmw.isetta,61.59830038671384,0,120,0,10,100.0,40.05000059679151,100.0,279.9044260978699,none,0
vehicle.bmw.isetta,55.2693469423156,0,120,0,10,100.0,15.900000236928465,100.0,174.77581143379211,none,0
vehicle.bmw.isetta,60.901017691577785,0,120,0,10,100.0,29.40000043809414,100.0,243.93604111671448,none,0
vehicle.bmw.isetta,55.04141645760018,0,120,0,10,100.0,23.300000347197056,100.0,232.88823986053467,none,0
vehicle.bmw.isetta,54.75607184336737,0,120,0,10,100.0,17.450000260025263,100.0,142.34372067451477,none,0
vehicle.bmw.isetta,61.25325971366519,0,120,0,10,100.0,43.35000064596534,100.0,298.51218485832214,none,0
vehicle.bmw.isetta,60.91089740578979,0,120,0,10,100.0,34.85000051930547,100.0,197.35120844841003,none,0
vehicle.bmw.isetta,55.1791221263788,0,120,0,10,100.0,26.50000039488077,100.0,174.62026238441467,none,0
vehicle.bmw.isetta,56.02666298657788,0,120,0,10,100.0,25.25000037625432,100.0,179.9719774723053,none,0
vehicle.bmw.isetta,61.75131111908178,0,120,0,10,100.0,39.00000058114529,100.0,260.9719750881195,none,0
vehicle.bmw.isetta,55.61009969298386,0,120,0,10,100.0,13.350000198930502,100.0,95.18052458763124,none,0
vehicle.bmw.isetta,56.290417613840575,0,120,0,10,100.0,24.70000036805868,100.0,157.78819727897644,none,0
vehicle.bmw.isetta,60.95337258060778,0,120,0,10,100.0,37.80000056326389,100.0,350.38442635536194,none,0
vehicle.bmw.isetta,61.16392023319401,0,120,0,10,100.0,27.10000040382147,100.0,157.44827818870544,none,0
vehicle.bmw.isetta,55.43311785764707,0,120,0,10,100.0,18.30000027269125,100.0,128.68436336517334,none,0
vehicle.bmw.isetta,55.2446401601069,0,120,0,10,100.0,14.150000210851433,100.0,167.9843816757202,none,0
vehicle.bmw.isetta,55.507802941520346,0,120,0,10,100.0,16.100000239908695,100.0,104.15614795684814,none,0
vehicle.bmw.isetta,61.367142631099526,0,120,0,10,100.0,28.80000042915344,100.0,195.28429245948792,none,0
vehicle.bmw.isetta,55.34447144880457,0,120,0,10,100.0,39.25000058487058,100.0,343.3681101799011,none,0
vehicle.bmw.isetta,55.27290728705631,0,120,0,10,100.0,26.85000040009617,100.0,168.62863516807556,none,0
vehicle.bmw.isetta,55.19927747263407,0,120,0,10,100.0,18.650000277906656,100.0,140.96434116363525,none,0
vehicle.bmw.isetta,56.094386897300026,0,120,0,10,100.0,27.85000041499734,100.0,219.7725329399109,none,0
vehicle.bmw.isetta,61.06920292504007,0,120,0,10,100.0,40.60000060498714,100.0,319.14836525917053,none,0
vehicle.bmw.isetta,82.60001775936934,0,120,0,10,100.0,22.35000033304096,100.0,173.32387566566467,none,0
vehicle.bmw.isetta,83.11998033178662,0,120,0,10,100.0,25.55000038072467,100.0,183.82021474838257,none,0
vehicle.bmw.isetta,83.51000974305987,0,120,0,10,100.0,28.550000425428152,100.0,223.3520474433899,none,0
vehicle.bmw.isetta,82.18000091524995,0,120,0,10,100.0,21.1000003144145,100.0,151.19604468345642,none,0
vehicle.bmw.isetta,82.0000009476335,0,120,0,10,100.0,32.050000477582216,100.0,247.7229344844818,none,0
vehicle.bmw.isetta,82.60999853125792,0,120,0,10,100.0,20.950000312179327,100.0,132.85599160194397,none,0
vehicle.bmw.isetta,82.61000234595448,0,120,0,10,100.0,26.3500003926456,100.0,236.7050993442536,none,0
vehicle.bmw.isetta,81.97915120561767,0,120,0,10,100.0,25.50000037997961,100.0,203.0431981086731,none,0
vehicle.bmw.isetta,81.99999331823905,0,120,0,10,100.0,50.30000074952841,100.0,430.3998899459839,none,0
vehicle.bmw.isetta,83.31085709977604,0,120,0,10,100.0,22.100000329315662,100.0,143.67589616775513,none,0
